序号,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
101,大页1H3-1,NT516S,PDC,215.9,史密斯,螺杆钻进,2025-04-19,1,吴家坪~飞一段,4935.0,6049.0,1114.0,122.0,9.13,1.9,120~140,60~70,28~35,31~35,吴家坪,飞一段,120.0,140.0,60.0,70.0,28.0,35.0,31.0,35.0,1.0
102,大页1H3-1,NT516S,PDC,215.9,史密斯,螺杆钻进,2025-04-28,1,吴家坪~飞一段,6049.0,6680.0,631.0,74.0,8.53,1.9,120~140,70~70,30.5~36,34~36,吴家坪,飞一段,120.0,140.0,70.0,70.0,30.5,36.0,34.0,36.0,1.0
103,大页1H3-2,SD6542B,PDC,311.2,渤海中成,复合钻进,2025-01-04,1,沙溪庙组~自流井组,521.0,2252.2,1731.2,94.5,18.32,1.35,160~180,60~60,55~13,13~13,沙溪庙组,自流井组,160.0,180.0,60.0,60.0,55.0,13.0,13.0,13.0,1.0
104,大页1H3-2,SD6542B,PDC,311.2,渤海中成,复合钻进,2025-01-10,1,沙溪庙组~雷口坡组,2252.2,2697.0,444.8,78.5,5.67,1.35,160~160,60~60,65~13,13~13,沙溪庙组,雷口坡组,160.0,160.0,60.0,60.0,65.0,13.0,13.0,13.0,1.0
105,大页1H3-2,SD6542B,PDC,311.2,渤海中成,螺杆钻进,2025-01-15,1,雷口坡组~嘉二3段,2697.0,3365.0,668.0,83.0,8.05,1.37,0~180,0~60,55~18,0~18,雷口坡组,嘉二3段,0.0,180.0,0.0,60.0,55.0,18.0,0.0,18.0,1.0
106,大页1H3-2,SD6535ZC,PDC,215.9,渤海中成,复合钻进,2025-04-21,1,嘉二3段~嘉二3段,3365.0,3417.6,109.6,5.0,10.52,1.87,0~150,0~60,0~37,0~37,嘉二3段,嘉二3段,0.0,150.0,0.0,60.0,0.0,37.0,0.0,37.0,0.479927
107,大页1H3-2,SD6535ZC,PDC,215.9,渤海中成,复合钻进,2025-04-23,2,嘉二3段~嘉二1段,3417.6,3475.0,109.6,7.5,14.67,1.87,0~150,0~60,0~31,0~31,嘉二3段,嘉二1段,0.0,150.0,0.0,60.0,0.0,31.0,0.0,31.0,0.520073
a1,大页1H3-2,SD6535ZC,PDC,215.9,渤海中成,复合钻进,2025-04-23,2,嘉二3段~嘉二1段,3365.0,3475.0,109.6,12.5,12.678303,1.87,0~150,0~60,0~31,0~31,嘉二3段,嘉二1段,0.0,150.0,0.0,60.0,0.0,33.879562,0.0,33.879562,1.0
108,大页1H3-2,SD6532,PDC,215.9,渤海中成,复合钻进,2025-04-23,1,嘉二1段~飞三段,3475.0,4069.0,594.0,55.5,10.7,1.87,120~150,60~60,32~34,32~34,嘉二1段,飞三段,120.0,150.0,60.0,60.0,32.0,34.0,32.0,34.0,1.0
109,大页1H3-2,NS519D,PDC,660.4,宝石机械,顶驱钻,2024-11-23,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,6.0,8.33,1.07,30~30,60~60,60~3,3~3,沙溪庙组,沙溪庙组,30.0,30.0,60.0,60.0,60.0,3.0,3.0,3.0,1.0
110,大页1H3-2,NS519D,PDC,444.5,宝石机械,螺杆钻进,2024-11-24,1,沙溪庙组~沙溪庙组,50.0,518.0,468.0,20.0,23.4,1.07,160~160,60~60,70~12,12~12,沙溪庙组,沙溪庙组,160.0,160.0,60.0,60.0,70.0,12.0,12.0,12.0,1.0
111,大页1H3-2,SD6542B,PDC,311.2,渤海中成,顶驱钻,2025-01-04,1,沙溪庙~沙溪庙组,518.0,521.0,3.0,1.0,6.0,1.07,140~140,70~70,50~3,3~3,沙溪庙,沙溪庙组,140.0,140.0,70.0,70.0,50.0,3.0,3.0,3.0,1.0
112,大页1H3-2,NXT516,PDC,215.9,史密斯,复合钻进,2025-04-29,1,飞三段~吴家坪组,4069.0,5688.0,1619.0,269.0,6.02,1.95,0~130,60~80,29~33,30~33,飞三段,吴家坪组,0.0,130.0,60.0,80.0,29.0,33.0,30.0,33.0,1.0
113,大页1H3-2,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-05-18,2,吴家坪组~吴家坪组,5688.0,6640.0,952.0,125.0,7.62,1.95,0~160,0~60,0~35,0~35,吴家坪组,吴家坪组,0.0,160.0,0.0,60.0,0.0,35.0,0.0,35.0,1.0
114,大页1H3-3,ES1655EL,PDC,311.2,亿斯达,螺杆钻进,2024-12-04,1,沙溪庙组~沙溪庙组,508.0,1507.35,999.35,67.5,14.81,1.07,150~160,50~60,60~13,12~13,沙溪庙组,沙溪庙组,150.0,160.0,50.0,60.0,60.0,13.0,12.0,13.0,1.0
115,大页1H3-3,ES1655EL,PDC,311.2,亿斯达,螺杆钻进,2024-12-09,1,沙溪庙组~雷口坡组,1507.35,2709.0,1201.65,165.0,7.28,1.33,160~180,55~60,54.8~15.32,13~15.32,沙溪庙组,雷口坡组,160.0,180.0,55.0,60.0,54.8,15.32,13.0,15.32,1.0
116,大页1H3-3,HS5164BS,PDC,311.2,惠灵丰,螺杆钻进,2024-12-18,1,雷口坡组~嘉二3段,2709.0,3341.6,632.6,88.0,7.19,1.35,160~180,40~50,50~19,18~19,雷口坡组,嘉二3段,160.0,180.0,40.0,50.0,50.0,19.0,18.0,19.0,1.0
117,大页1H3-3,HS5164BS,PDC,311.2,惠灵丰,复合钻进,2024-12-26,1,嘉二3段~嘉二3段,3341.6,3374.0,32.4,13.0,2.49,1.37,100~120,60~80,50~11,10~11,嘉二3段,嘉二3段,100.0,120.0,60.0,80.0,50.0,11.0,10.0,11.0,1.0
118,大页1H3-3,SD6532H,PDC,215.9,渤海中成,螺杆钻进,2025-02-02,1,嘉二3段~飞仙关组,3374.0,4150.0,776.0,47.0,16.51,1.82,140~150,40~50,32~30,28~30,嘉二3段,飞仙关组,140.0,150.0,40.0,50.0,32.0,30.0,28.0,30.0,1.0
